harmSubharmfullspan1,
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
,
harmSubharmfullspan2,
2,1
1,1
2,3
1,2
2,5
1,3
2,7
1,4
,
harmSubharmfullspan3,
3,1
3,2
1,1
3,4
3,5
1,2
3,7
3,8
,
harmSubharmfullspan4,
4,1
2,1
4,3
1,1
4,5
2,3
4,7
1,2
,
harmSubharmfullspan5,
5,1
5,2
5,3
5,4
1,1
5,6
5,7
5,8
,
harmSubharmfullspan6,
6,1
3,1
2,1
3,2
6,5
1,1
6,7
3,4
,
harmSubharmfullspan7,
7,1
7,2
7,3
7,4
7,5
7,6
1,1
7,8
,
harmSubharmfullspan8,
8,1
4,1
8,3
2,1
8,5
4,3
8,7
1,1
,