chromatic5prime,
1,1
16,15
9,8
6,5
5,4
4,3
25,18
3,2
8,5
5,3
9,5
15,8
,
major5prime,
1,1
1,1
9,8
9,8
5,4
4,3
4,3
3,2
3,2
5,3
5,3
15,8
,
dorian5prime,
1,1
1,1
9,8
9,8
5,4
5,4
5,4
3,2
3,2
5,3
9,5
9,5
,
phrygian5prime,
1,1
16,15
16,15
6,5
6,5
4,3
4,3
3,2
8,5
8,5
9,5
9,5
,
lydian5prime,
1,1
1,1
9,8
9,8
5,4
5,4
25,18
3,2
3,2
5,3
5,3
15,8
,
mixolydian5prime,
1,1
1,1
9,8
9,8
5,4
4,3
4,3
3,2
3,2
5,3
9,5
9,5
,
aeolian5prime,
1,1
1,1
9,8
6,5
6,5
4,3
4,3
3,2
8,5
8,5
9,5
9,5
,
locrian5prime,
1,1
16,15
16,15
6,5
6,5
4,3
25,18
25,18
8,5
8,5
9,5
9,5
,