moogShifted,moogShiftedAttackFamily,moogShiftedReleaseFamily,0
moogNormalized,moogNormalizedAttackFamily,moogNormalizedReleaseFamily,0
moogSquare,moogSquareShiftAttackFamily,moogSquareShiftReleaseFamily,0
moogInverted,moogInvertedAttackFamily,moogInvertedReleaseFamily,0
perlin,perlinAttackFamily,perlinReleaseFamily,0
sineFold,sinefoldAttackFamily,sinefoldReleaseFamily,0
bounce,bounceAttackFamily,bounceReleaseFamily,0
triodd,trioddAttackFamily,trioddReleaseFamily,0
triOdd,trioddAttackFamily,trioddReleaseFamily,0
triFudge,trifudgeAttackFamily,trifudgeReleaseFamily,0
moog1,moog1AttackFamily,moog1ReleaseFamily,0
moog2,moog2AttackFamily,moog2ReleaseFamily,0
sawBend,sawBendAttackFamily,sawBendReleaseFamily,0
sawBendLinAtk,allLinear5_5,sawBendReleaseFamily,0
exciteBike,exciteBikeAttackFamily,exciteBikeReleaseFamily,0
exciteBikeLinAtk,allLinear9_9,exciteBikeReleaseFamily,0
rand,randAttackFamily,randReleaseFamily,0
gauss,gaussAttackFamily,gaussReleaseFamily,0
gauss_noconform,gauss_noconformAttackFamily,gauss_noconformReleaseFamily,0
gauss_low,gauss_lowAttackFamily,gauss_lowReleaseFamily,0
gauss_low_noconform,gauss_low_noconformAttackFamily,gauss_low_noconformReleaseFamily,0
algerian,algerianAttackFamily,algerianReleaseFamily,0
quartSym,quartSymAttackFamily,quartSymReleaseFamily,0
quartAsym,quartAsymAttackFamily,quartAsymReleaseFamily,0
superEllipse1Sym,superEllipse1SymAttackFamily,superEllipse1SymReleaseFamily,0
superEllipse1Asym,superEllipse1AsymAttackFamily,superEllipse1AsymReleaseFamily,0
gammaSym,gammaSymAttackFamily,gammaSymReleaseFamily,0
gammaAsym,gammaAsymAttackFamily,gammaAsymReleaseFamily,0
sharpExpoSym,sharpExpoSymAttackFamily,sharpExpoSymReleaseFamily,0
sharpExpoAsym,sharpExpoAsymAttackFamily,sharpExpoAsymReleaseFamily,0
sharpLinSym,sharpLinSymAttackFamily,sharpLinSymReleaseFamily,0
sharpLinAsym,sharpLinAsymAttackFamily,sharpLinAsymReleaseFamily,0
ascendingAdditiveClamp,ascendingAdditiveClampAttackFamily,ascendingAdditiveClampReleaseFamily,0
summingAdditiveClamp,summingAdditiveClampAttackFamily,summingAdditiveClampReleaseFamily,0
moogImpossibleTri,moogImpossibleTriAttackFamily,moogImpossibleTriReleaseFamily,0
steps,stepsAttackFamily,stepsReleaseFamily,0
perlin130_1,perlin130_1_noskewAttackFamily,perlin130_1_noskewReleaseFamily,0
perlin130_2,perlin130_2_noskewAttackFamily,perlin130_2_noskewReleaseFamily,0
perlin130_3,perlin130_3_noskewAttackFamily,perlin130_3_noskewReleaseFamily,0
perlin130_4,perlin130_4_noskewAttackFamily,perlin130_4_noskewReleaseFamily,0
perlin130_5,perlin130_5_noskewAttackFamily,perlin130_5_noskewReleaseFamily,0
impBig,imp,imp,0
impevens,impshort,impshort,0
tenor48,tenor48AttackFamily,tenor48ReleaseFamily,0
tenor16,tenor16AttackFamily,tenor16ReleaseFamily,0
tenor12,tenor12AttackFamily,tenor12ReleaseFamily,0
soprano48,soprano48AttackFamily,soprano48ReleaseFamily,0
soprano16,soprano16AttackFamily,soprano16ReleaseFamily,0
soprano12,soprano12AttackFamily,soprano12ReleaseFamily,0
artificial_1,artificial_1_48AttackFamily,artificial_1_48ReleaseFamily,0
filterbank_24,fbank_24,fbank_24,0
filterbank_48,fbank_48,fbank_48,0
filterbankTight_24,fbankTight_24,fbankTight_24,0
filterbankTight_48,fbankTight_48,fbankTight_48,0
skipSaw,skipsaw,skipsaw,0
hopSaw,hopsaw,hopsaw,0
assortedEnvs,assorted,assorted,0
lump3rdDegLinAtk,allLinear129_5,lump3rdDeg,0
lump2ndDegLinAtk,allLinear129_5,lump2ndDeg,0
doubleLump3rdDegLinAtk,allLinear129_5,lump3rdDeg,0
doubleLump2ndDegLinAtk,allLinear129_5,lump2ndDeg,0
threeBounceLinAtk,allLinear65_3,threeBounce,0
threeSineFoldsLinAtk,allLinear65_3,threeSineFolds,0
sawPWM,sawPWMAttackFamily,sawPWMReleaseFamily,0
tenor257,tenor257Atk,tenor257Rls,0
linwavefold_257,linwavefold_257_Family,linwavefold_257_Family,0
sinwavefold_257,sinwavefold_257_Family,sinwavefold_257_Family,0
additive_tri_to_pulse,additive_tri_to_pulseFamily,additive_tri_to_pulseFamily,0
newBounce,newBounceFamily,newBounceFamily,0
soprano257,soprano257Atk,soprano257Rls,0
testRMS,allLinear129_5,testRMSRMSRls,0
gamma257,gamma257Attack,gamma257Attack,0
bounce_257,bounce_257_slopes,bounce_257_slopes,0
circular_257,circular_257_slopes,circular_257_slopes,0
quintic_outin2quintic_inout257,quintic_outin2quintic_inout257_slopes,quintic_outin2quintic_inout257_slopes,0
quintic_out2quintic_in257,quintic_out2quintic_in257_slopes,quintic_out2quintic_in257_slopes,0
quintic_inout2quintic_outin257,quintic_inout2quintic_outin257_slopes,quintic_inout2quintic_outin257_slopes,0
quintic_in2quintic_out257,quintic_in2quintic_out257_slopes,quintic_in2quintic_out257_slopes,0
additive_linspread_257,additive_linspread_257_slopes,additive_linspread_257_slopes,0
test_fm,test_fm_attack,test_fm_release,0